Name,Image,Genus Name,Life Cycle,Sun Requirements,Plant-Type,Special Information
Flaming Katy,https://upload.wikimedia.org/wikipedia/commons/b/b2/Christmas_kalanchoe_Flaming_Katy.jpg,Kalanchoe blossfeldiana,Perennial,Full Sun,Succulent,Toxic to pets
Flamingo Flower,https://cdn.pixabay.com/photo/2019/07/19/17/33/flamingo-flower-4349272_1280.jpg,Anthurium andraeanum,Perennial,Partial or Dappled Shade,Showy,Highly toxic to pets
Golden Barrel Cactus,https://upload.wikimedia.org/wikipedia/commons/9/91/Golden_Barrel_Cactus_%28Echinocactus_grusonii%29_%283104098300%29.jpg,Echinocactus Grusonii ,Perennial,Full Sun,Cacti,Best suited to patios or indoor-glass rooms
Hyacinth,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hyacinth_-_Anglesey_Abbey.jpg,Hyacinthus,Perennial,Full Sun to Partial Shade,Bulb,Good for containers
Iris,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Iris_ensata_Thunb.jpg/640px-Iris_ensata_Thunb.jpg,  Iris reticulata,Perennial,Full Sun,Bulb,Easy to care for
Jade Plant,https://live.staticflickr.com/1951/44618459785_a79db54c3e_b.jpg,Crassula,Perennial,Full Sun to Partial Shade,Succulent,Needs excellent drainage in pots
Kentia Palm Plant,https://www.publicdomainpictures.net/pictures/50000/nahled/plant-1368347836475.jpg,Howea forsteriana,Perennial,Full Sun to Partial Shade,Showy,Fast-growing
Lollipop Plant,https://upload.wikimedia.org/wikipedia/commons/7/71/Lollipop_plant._Pachystachys_lutea._Acanthaceae._-_Flickr_-_gailhampshire.jpg,Pachystachys lutea,Perennial,Full Sun,Shrub,Attracts Hummingbirds
Madagascar Jasmine,https://live.staticflickr.com/5101/5758056904_6b4309ac25_b.jpg,Stephanotis Floribunda ,Perennial,Full Sun to Partial Shade,Bulb,	Needs excellent drainage in pots
Peony,https://upload.wikimedia.org/wikipedia/commons/c/c6/Pivoine_Japanese_peony_Jdp.jpg,Paeonia,Perennial,Partial or Dappled Shade,Showy,Fragrant
Poinsettia,https://live.staticflickr.com/2082/2192488810_9dc01211d7_b.jpg,Euphorbia Pulcherrima,Perennial,Full Sun to Partial Shade,Shrub,Toxic to pets
Rose,https://upload.wikimedia.org/wikipedia/commons/7/77/Pink_rose_.JPG,Rosa,Perennial,Full Sun,Shrub,Attracts Birds
Saffron Flower,https://upload.wikimedia.org/wikipedia/commons/1/17/Saffron8.jpg,Crocus sativus,Perennial,Full Sun to Partial Shade,"Bulb, Herb",Drought Tolerant
Snowdrop,https://www.publicdomainpictures.net/pictures/30000/nahled/snowdrops-1331300749aZv.jpg,Galanthu,Perennial,Partial or Dappled Shade,Bulb,Fragrant
Urn Plant,https://upload.wikimedia.org/wikipedia/commons/4/43/Aechmea_fasciata_Urn_Plant%2C_Vase_Plant_%E1%83%95%E1%83%94%E1%83%A0%E1%83%AA%E1%83%AE%E1%83%9A%E1%83%98%E1%83%A1%E1%83%94%E1%83%91%E1%83%A0%E1%83%98_%E1%83%94%E1%83%AE%E1%83%9B%E1%83%94%E1%83%90.JPG,Aechmea Fasciata,Perennial,Full Sun to Partial Shade,Bromeliad ,Pet-Friendly
Venus Fly Trap ,https://upload.wikimedia.org/wikipedia/commons/3/37/Venus_Flytrap_showing_trigger_hairs.jpg,Dionaea muscipula,Perennial,Full Sun,Flowering,Carnivorous 
Waterlily Tulip,https://upload.wikimedia.org/wikipedia/commons/9/99/%27Tulipa_kaufmanniana%27_water-lily_tulip_cultivar_at_Capel_Manor_College_Gardens_Enfield_London_England_%28cropped%29.jpg,Tulipa kaufmanniana,Perennial,Full Sun to Partial Shade,Bulb,Drought Tolerant
Winter Aconite,https://upload.wikimedia.org/wikipedia/commons/7/72/Winter_Aconite_%28Eranthis_hyemalis%29.jpg,Eranthis hyemalis,Perennial,Full Sun,Bulb,Best planted in early fall
Zebra Haworthia,https://upload.wikimedia.org/wikipedia/commons/4/4f/Haworthia_Attenuata_Striata_%285961370015%29.jpg,Haworthia Fasciata,Perennial,Partial or Dappled Shade,Succulent,Suitable for miniature gardens
